latitude,longitude
1.7540522,26.51413222
2.15781691,26.79752664
2.05386324,27.05082541
1.8375485,27.33050297
1.73572042,27.52016566
1.60045377,27.7574345
1.4322384,28.02639666
1.18936051,28.14339835
0.9210684,28.07806873
0.60986527,27.89589314
0.32925569,27.76567653
-0.0501026,27.74561735
-0.0281297,27.99276763
-0.143361,28.10190777
-0.4411714,28.02109751
-0.4511921,28.26761245
-0.1126959,28.41795327
0.07004655,28.56357255
0.37453589,28.80685672
0.89782719,29.02261207
1.60968886,29.44370231
2.09673635,29.83927153
2.71056966,29.87831694
2.96494042,29.6761032
3.07823438,29.20627284
3.16201919,28.96871638
3.24568943,28.73156882
3.32286385,28.43892829
3.70704166,27.95290264
3.73416791,27.57757139
3.87304337,27.32198877
4.11793495,26.98580373
4.33155075,26.48261724
4.69176007,25.52445781
5.11589836,24.76886741
5.03897038,23.35011971
5.00199361,22.70212048
5.00371314,22.37022181
4.99300517,22.2747545
4.71745843,22.27843766
4.46666669,22.26717052
4.20794108,22.26324304
4.06741555,22.40670471
3.96650376,22.54385878
3.91363562,22.81684333
3.83668682,22.94676692
3.7656176,23.11608771
3.67898712,23.28445347
3.64813998,23.43189795
3.59312393,23.59371548
3.52992651,23.76284914
3.3135833,24.02588527
3.25116685,24.17919289
3.2198901,24.33405628
3.22094016,24.46709666
3.21758912,24.68599553
3.10991334,24.80568463
3.01360617,24.85553289
2.85654207,24.87097744
2.70278457,24.97271117
2.64292863,25.07144133
2.45081684,25.30452887
2.25431483,25.46710755
2.09173699,25.57666804
2.07560698,25.87437771
2.11877682,26.08896123
2.12185085,26.17575549
1.91392171,26.2443389
1.7693128,26.30040827
1.72609915,26.36935583
1.7540522,26.51413222
