latitude,longitude
10.6838758,3.447453044
10.6535353,3.660868803
10.8817074,4.028211668
11.4016394,4.056395973
11.8442475,4.262190952
12.1568983,4.726248519
12.4174271,5.154725515
12.7288945,5.618206316
12.9968018,6.090696651
13.0916761,6.59858108
13.1027208,7.259906891
12.8799738,7.988566554
12.6055237,8.679007616
12.2985683,9.191756265
11.9110663,9.627467958
11.1329659,9.863185828
10.3866554,10.02460402
9.8176708,10.06283183
9.43943545,9.930904211
9.03956923,9.803366782
8.67707221,9.153486531
8.36243178,8.65225766
8.28269028,8.106735711
8.07763084,7.535421672
7.75666496,6.840208347
7.57802542,5.926469122
7.34739016,5.082690156
7.2427303,3.79426223
7.60535876,3.111790164
7.55635012,2.572170601
7.41359063,2.34136449
7.6007743,1.880785567
8.04125435,1.725664098
8.71240706,2.076363198
9.70397737,2.779436003
10.2841994,3.013813823
10.6838758,3.447453044
