latitude,longitude
12.8241618,2.443686364
12.7376445,2.474745991
12.9220924,2.408872372
13.0013654,2.374502796
13.1256974,2.307510117
13.2009518,2.255786236
13.2578788,2.211380046
13.3323105,2.143727567
13.410406,2.088667568
13.4703553,2.044102786
13.5625023,1.959554658
13.7030712,1.850131102
13.8108097,1.767884813
13.959728,1.638646597
14.0419131,1.541548457
14.1177509,1.441495119
14.18708,1.335285046
14.2543305,1.18739842
14.281694,1.051182344
14.2613325,0.955907428
14.2567233,0.867940448
14.2589413,0.781913405
14.2614871,0.723718283
14.2658461,0.636367709
14.2757864,0.569569168
14.2861507,0.510846472
14.2897716,0.473420402
14.3019962,0.449440522
14.2965648,0.390399656
14.2884245,0.302350532
14.2774806,0.184023865
14.2570328,0.057865961
14.2235996,-0.162271153
14.1902481,-0.277756068
14.1819159,-0.347908665
14.1805824,-0.413889126
14.1809759,-0.489534349
14.1751032,-0.55541942
14.1531518,-0.625081022
14.1404607,-0.690710895
14.1354442,-0.740298984
14.1203189,-0.808326538
14.1011743,-0.866650806
14.0821357,-0.922676698
14.0654677,-0.976549834
14.0437327,-1.05481171
14.0289251,-1.129643331
14.020927,-1.205039529
14.0025754,-1.246703785
13.985908,-1.280542632
13.9408758,-1.373196483
13.9161541,-1.445168821
13.8998771,-1.511622161
13.8952286,-1.541369883
13.8919794,-1.563551086
13.8906619,-1.574667161
13.87104,-1.626848327
13.8517756,-1.67176002
13.8213155,-1.731944225
13.7834506,-1.789368581
13.743742,-1.840294708
13.6851276,-1.928086932
13.6415439,-2.001901422
13.6307102,-2.023107313
13.6152362,-2.057740938
13.6006987,-2.091533429
13.5843121,-2.126965212
13.5726942,-2.156480842
13.5542816,-2.196205936
13.5327801,-2.230336089
13.5099319,-2.271495498
13.4929561,-2.303262029
13.4763507,-2.329696378
13.458385,-2.350670911
13.437269,-2.36694495
13.4014072,-2.395498249
13.3745657,-2.41936584
13.3495181,-2.442472237
13.3237936,-2.462848723
13.2927668,-2.484609754
13.253479,-2.512887096
13.2190658,-2.533500003
13.1966184,-2.544305134
13.1726311,-2.552318114
13.1482161,-2.554054023
13.1179416,-2.565167302
13.0972839,-2.575218762
13.0780392,-2.589839327
13.0557025,-2.611371092
13.024776,-2.643872239
