Region,Longitude,Latitude
Active_Magnetic_Arc_1,-73.94364101,-13.30417023
Active_Magnetic_Arc_1,-73.73404971,-13.28869198
Active_Magnetic_Arc_1,-73.6576252,-13.19003023
Active_Magnetic_Arc_1,-73.66665133,-13.07453443
Active_Magnetic_Arc_1,-73.67567134,-12.95897417
Active_Magnetic_Arc_1,-73.71318173,-12.83770569
Active_Magnetic_Arc_1,-73.81254707,-12.73253161
Active_Magnetic_Arc_1,-73.8835911,-12.63276231
Active_Magnetic_Arc_1,-73.92202921,-12.51039072
Active_Magnetic_Arc_1,-74.03157937,-12.45964651
Active_Magnetic_Arc_1,-74.14117191,-12.40881891
Active_Magnetic_Arc_1,-74.25547906,-12.38568277
Active_Magnetic_Arc_1,-74.39420886,-12.3285058
Active_Magnetic_Arc_1,-74.51822081,-12.36062077
Active_Magnetic_Arc_1,-74.63811924,-12.36452396
Active_Magnetic_Arc_1,-74.70976179,-12.43597989
Active_Magnetic_Arc_1,-74.81131222,-12.50061857
Active_Magnetic_Arc_1,-74.91328256,-12.56500535
Active_Magnetic_Arc_1,-74.96219767,-12.66921492
Active_Magnetic_Arc_1,-75.01199404,-12.77281516
Active_Magnetic_Arc_1,-75.03796414,-12.90992378
Active_Magnetic_Arc_1,-75.02968448,-13.02566339
Active_Magnetic_Arc_1,-74.99217138,-13.14751152
Active_Magnetic_Arc_1,-74.90946765,-13.19348181
Active_Magnetic_Arc_1,-74.7925254,-13.21807259
Active_Magnetic_Arc_1,-74.72003191,-13.31877114
Active_Magnetic_Arc_1,-74.68180638,-13.44066984
Active_Magnetic_Arc_1,-74.68685158,-13.46808723
Active_Magnetic_Arc_1,-74.63123014,-13.54250218
Active_Magnetic_Arc_1,-74.62889802,-13.58176642
Active_Magnetic_Arc_1,-74.63626188,-13.61916824
Active_Magnetic_Arc_1,-74.64361932,-13.65657084
Active_Magnetic_Arc_1,-74.64311827,-13.70517703
Active_Magnetic_Arc_1,-74.66016135,-13.74072762
Active_Magnetic_Arc_1,-74.6790351,-13.78562974
Active_Magnetic_Arc_1,-74.68820709,-13.83238384
Active_Magnetic_Arc_1,-74.69554798,-13.86978284
Active_Magnetic_Arc_1,-74.66038381,-13.89589216
Active_Magnetic_Arc_1,-74.62155681,-13.90329558
Active_Magnetic_Arc_1,-74.56333,-13.91438564
Active_Magnetic_Arc_1,-74.52451962,-13.92177312
Active_Magnetic_Arc_1,-74.48936872,-13.94783832
Active_Magnetic_Arc_1,-74.48515254,-13.9777096
Active_Magnetic_Arc_1,-74.4536184,-14.02243676
Active_Magnetic_Arc_1,-74.42024279,-14.05782422
Active_Magnetic_Arc_1,-74.38513026,-14.08382271
Active_Magnetic_Arc_1,-74.34818235,-14.10047931
Active_Magnetic_Arc_1,-74.30339187,-14.1282779
Active_Magnetic_Arc_1,-74.27015463,-14.16356381
Active_Magnetic_Arc_1,-74.23688564,-14.19883603
Active_Magnetic_Arc_1,-74.20177323,-14.22477341
Active_Magnetic_Arc_1,-74.16857115,-14.25999793
Active_Magnetic_Arc_1,-74.14330878,-14.2840406
Active_Magnetic_Arc_1,-74.10840107,-14.3098743
Active_Magnetic_Arc_1,-74.08309971,-14.33391425
Active_Magnetic_Arc_1,-74.03841031,-14.36156805
Active_Magnetic_Arc_1,-73.99553339,-14.39853161
Active_Magnetic_Arc_1,-73.97017207,-14.42256353
Active_Magnetic_Arc_1,-73.93698437,-14.45769804
Active_Magnetic_Arc_1,-73.90197552,-14.48350069
Active_Magnetic_Arc_1,-73.8802623,-14.52614288
Active_Magnetic_Arc_1,-73.84706384,-14.56124337
Active_Magnetic_Arc_1,-73.82169446,-14.58521885
Active_Magnetic_Arc_1,-73.77691144,-14.61278638
Active_Magnetic_Arc_1,-73.74181535,-14.63855131
Active_Magnetic_Arc_1,-73.70863657,-14.6736055
Active_Magnetic_Arc_1,-73.68890526,-14.72545744
Active_Magnetic_Arc_1,-73.65583652,-14.76046345
Active_Magnetic_Arc_1,-73.61484956,-14.80655117
Active_Magnetic_Arc_1,-73.58952136,-14.83047346
Active_Magnetic_Arc_1,-73.54669658,-14.86722924
Active_Magnetic_Arc_1,-73.5038644,-14.90397091
Active_Magnetic_Arc_1,-73.4785245,-14.9278697
Active_Magnetic_Arc_1,-73.43562249,-14.96459
Active_Magnetic_Arc_1,-73.41024155,-14.98847495
Active_Magnetic_Arc_1,-73.35584933,-15.01761251
Active_Magnetic_Arc_1,-73.31112851,-15.04498052
Active_Magnetic_Arc_1,-73.28754802,-15.07813885
Active_Magnetic_Arc_1,-73.26215881,-15.10198696
Active_Magnetic_Arc_1,-73.22120461,-15.14793779
Active_Magnetic_Arc_1,-73.18030716,-15.19389293
Active_Magnetic_Arc_1,-73.12603015,-15.22296132
Active_Magnetic_Arc_1,-73.07982599,-15.24102232
Active_Magnetic_Arc_1,-73.03359755,-15.25908448
Active_Magnetic_Arc_1,-72.99696155,-15.27539524
Active_Magnetic_Arc_1,-72.9621334,-15.30102527
Active_Magnetic_Arc_1,-72.91550255,-15.31896903
Active_Magnetic_Arc_1,-72.88209612,-15.35376653
Active_Magnetic_Arc_1,-72.83545111,-15.37166373
Active_Magnetic_Arc_1,-72.79672215,-15.37853077
Active_Magnetic_Arc_1,-72.74049832,-15.39815221
Active_Magnetic_Arc_1,-72.67290203,-15.41021457
Active_Magnetic_Arc_1,-72.63604486,-15.42639128
Active_Magnetic_Arc_1,-72.58775907,-15.43498529
Active_Magnetic_Arc_1,-72.54912926,-15.44185223
Active_Magnetic_Arc_1,-72.51226774,-15.45800535
Active_Magnetic_Arc_1,-72.47363626,-15.46485824
Active_Magnetic_Arc_1,-72.42179235,-15.45479852
Active_Magnetic_Arc_1,-72.37960076,-15.44300985
Active_Magnetic_Arc_1,-72.33563619,-15.42189752
