Region,Longitude,Latitude
Coastline,-71.92730635,11.42477915
Coastline,-71.70906104,11.51263506
Coastline,-71.6875624,11.58965992
Coastline,-71.66602169,11.66676289
Coastline,-71.66410788,11.74474422
Coastline,-71.66171198,11.84227432
Coastline,-71.67947018,11.92122405
Coastline,-71.75685544,11.98344135
Coastline,-71.83489509,12.02632419
Coastline,-71.91299684,12.06917671
Coastline,-71.97218183,12.07182593
Coastline,-72.07006525,12.11540731
Coastline,-72.14899313,12.11893146
Coastline,-72.22849468,12.10285317
Coastline,-72.30834079,12.06722367
Coastline,-72.38782524,12.05118585
Coastline,-72.44787887,12.0146674
Coastline,-72.50864935,11.93892192
Coastline,-72.56904194,11.88286782
Coastline,-72.62943787,11.82685706
Coastline,-72.70962214,11.77171612
Coastline,-72.78981806,11.71664324
Coastline,-72.86999137,11.66155856
Coastline,-72.9498719,11.62604069
Coastline,-73.02980907,11.59056014
Coastline,-73.08987295,11.5541499
Coastline,-73.18937758,11.53904523
Coastline,-73.28948892,11.48492827
Coastline,-73.36955164,11.44946635
Coastline,-73.44982685,11.39442398
Coastline,-73.52989329,11.35895507
Coastline,-73.59062969,11.30308533
Coastline,-73.67051127,11.26773804
Coastline,-73.73096923,11.19218985
Coastline,-73.81070602,11.17606382
Coastline,-73.89082881,11.16022915
Coastline,-73.9908439,11.16483517
Coastline,-74.07056862,11.18788775
Coastline,-74.17015031,11.23128975
Coastline,-74.25022263,11.23486133
Coastline,-74.35050873,11.23934361
Coastline,-74.43093828,11.22338129
Coastline,-74.51156289,11.18787526
Coastline,-74.59240109,11.13287199
Coastline,-74.63302655,11.07602456
Coastline,-74.67383315,10.99976834
Coastline,-74.71475049,10.92359022
Coastline,-74.77562575,10.8677866
Coastline,-74.83648699,10.81196353
Coastline,-74.89733375,10.75611934
Coastline,-74.97815084,10.72057862
Coastline,-75.07896466,10.7248779
Coastline,-75.1799611,10.72920378
Coastline,-75.28104143,10.73350029
Coastline,-75.36202582,10.73693969
Coastline,-75.4432287,10.72090825
Coastline,-75.52452506,10.70486392
Coastline,-75.60601889,10.68889803
Coastline,-75.68757061,10.67290116
Coastline,-75.74881203,10.63645708
Coastline,-75.78978244,10.56008312
Coastline,-75.79004912,10.48204062
Coastline,-75.83110477,10.40574702
Coastline,-75.87226763,10.32951343
Coastline,-75.893028,10.25244087
Coastline,-75.91377219,10.17537937
Coastline,-75.93455242,10.09835551
Coastline,-75.93518361,10.00113931
Coastline,-75.93572752,9.923414417
Coastline,-75.93631814,9.845731884
Coastline,-75.93712678,9.748695659
Coastline,-75.99881122,9.673432312
Coastline,-76.11299731,9.492408312
Coastline,-76.18956775,9.477009348
Coastline,-76.24746385,9.424461717
Coastline,-76.28626317,9.371203829
Coastline,-76.36336211,9.319326204
Coastline,-76.40243466,9.247844709
Coastline,-76.44153954,9.176372505
Coastline,-76.44257802,9.085364626
Coastline,-76.48175764,9.01388576
Coastline,-76.52098398,8.942426138
Coastline,-76.56021364,8.870956211
Coastline,-76.59952674,8.79950828
Coastline,-76.63889844,8.728027308
Coastline,-76.69746146,8.657163476
Coastline,-76.73692537,8.585674676
Coastline,-76.79540406,8.5329526
Coastline,-76.85387497,8.480171951
Coastline,-76.89341828,8.408626095
Coastline,-76.95201129,8.355873726
Coastline,-77.01073617,8.303067251
Coastline,-77.08845042,8.250749908
Coastline,-77.16626892,8.216636745
Coastline,-77.24413175,8.182482034
Coastline,-77.32171271,8.166491943
Coastline,-77.39992898,8.13229598
Coastline,-77.47797785,8.116291685
Coastline,-77.55608627,8.100257296
Coastline,-77.63394244,8.1024302
Coastline,-77.7120092,8.104609298
Coastline,-77.79056632,8.088535264
Coastline,-77.86941037,8.054166587
Coastline,-77.94830607,8.019754267
Coastline,-77.98820312,7.965978532
Coastline,-78.00868441,7.893392765
Coastline,-78.02916072,7.820801938
Coastline,-78.03002193,7.74771316
Coastline,-78.05129587,7.675214853
Coastline,-78.03352389,7.601680109
Coastline,-78.0353372,7.528663254
Coastline,-78.01763219,7.455187087
Coastline,-77.94638133,7.304088732
Coastline,-77.94711947,7.238566573
Coastline,-77.96534534,7.173756933
Coastline,-77.96624999,7.108295313
Coastline,-77.94991712,7.04223176
Coastline,-77.95121261,6.960487572
Coastline,-77.95265699,6.878789505
Coastline,-77.93651886,6.812827296
Coastline,-77.93798621,6.731168101
Coastline,-77.90427285,6.68096674
Coastline,-77.88816581,6.615070221
Coastline,-77.88968353,6.533487895
Coastline,-77.85647205,6.467057093
Coastline,-77.84054902,6.401256999
Coastline,-77.82469981,6.335480667
Coastline,-77.80891956,6.269733366
Coastline,-77.79327641,6.204024252
Coastline,-77.77769395,6.138331977
Coastline,-77.7793196,6.073199759
Coastline,-77.78135806,5.991787901
Coastline,-77.78296327,5.926662273
Coastline,-77.80176006,5.862061632
Coastline,-77.80336191,5.796937304
Coastline,-77.822153,5.732326066
Coastline,-77.84070156,5.667695363
Coastline,-77.8424916,5.60257494
Coastline,-77.82723111,5.536975303
Coastline,-77.79527132,5.454628842
Coastline,-77.7972129,5.389536433
Coastline,-77.79915254,5.324443279
Coastline,-77.80060948,5.27562236
Coastline,-77.78587634,5.193795336
Coastline,-77.75352588,5.127799089
Coastline,-77.73834967,5.062273124
Coastline,-77.72326848,4.996757158
Coastline,-77.70834307,4.931241982
Coastline,-77.71054417,4.866163568
Coastline,-77.69565598,4.800657549
Coastline,-77.66311459,4.751006262
Coastline,-77.59637521,4.700537978
Coastline,-77.59920804,4.61921971
Coastline,-77.58552726,4.521222711
Coastline,-77.58848118,4.43987775
Coastline,-77.59150684,4.358520208
Coastline,-77.57683478,4.293023907
Coastline,-77.56219121,4.22757446
Coastline,-77.5476887,4.162090987
Coastline,-77.53263763,4.112851154
Coastline,-77.51800732,4.04739315
Coastline,-77.50448108,3.965584829
Coastline,-77.49007259,3.900040195
Coastline,-77.45867828,3.834222503
Coastline,-77.44440303,3.768709971
Coastline,-77.44723976,3.703500489
Coastline,-77.4500579,3.638270995
Coastline,-77.35503782,3.49247497
Coastline,-77.37045019,3.439834945
Coastline,-77.3858582,3.387204225
Coastline,-77.38867886,3.306854307
Coastline,-77.39055771,3.253310144
Coastline,-77.40597117,3.200753018
Coastline,-77.42139731,3.148203336
Coastline,-77.44988846,3.109988032
Coastline,-77.50546106,3.073674065
Coastline,-77.56066039,3.050795592
Coastline,-77.61639344,3.014555984
Coastline,-77.67211066,2.978294258
Coastline,-77.72743963,2.955427464
Coastline,-77.76964449,2.918214356
Coastline,-77.81141149,2.894372543
Coastline,-77.86730403,2.85817204
Coastline,-77.92277543,2.835332685
Coastline,-77.97824335,2.812432381
Coastline,-78.03385614,2.789671543
Coastline,-78.07629349,2.752476656
Coastline,-78.13191569,2.729645555
Coastline,-78.17446885,2.692544422
Coastline,-78.21701807,2.655403358
Coastline,-78.25960457,2.618285974
Coastline,-78.31539794,2.595462359
Coastline,-78.3717415,2.559305893
Coastline,-78.4276167,2.536470744
Coastline,-78.48404401,2.50027833
Coastline,-78.54002147,2.477444979
Coastline,-78.58227362,2.45368589
Coastline,-78.63900088,2.417342276
Coastline,-78.69561839,2.381364725
Coastline,-78.71140984,2.328914268
Coastline,-78.72720666,2.276579328
Coastline,-78.7297407,2.209802899
Coastline,-78.7456101,2.15742104
Coastline,-78.74769659,2.104076481
Coastline,-78.74981532,2.050764777
Coastline,-78.76631147,1.985118326
Coastline,-78.76959984,1.90527767
Coastline,-78.77289817,1.825447077
Coastline,-78.77576227,1.758971036
Coastline,-78.79184932,1.706718489
Coastline,-78.80793523,1.654462234
Coastline,-78.87057973,1.485337123
Coastline,-78.92699941,1.462379893
Coastline,-78.98351192,1.439420214
Coastline,-79.0268449,1.402330336
Coastline,-79.07024132,1.365165074
Coastline,-79.12639911,1.355500592
Coastline,-79.18257874,1.345812862
Coastline,-79.23879838,1.336166829
Coastline,-79.29509085,1.326504154
Coastline,-79.35202116,1.303523847
Coastline,-79.40899827,1.280528961
Coastline,-79.46619822,1.257576009
Coastline,-79.52282068,1.247923642
Coastline,-79.5800991,1.224940611
Coastline,-79.63739838,1.201938285
Coastline,-79.68126564,1.164667337
Coastline,-79.71175236,1.113136713
Coastline,-79.74223223,1.061613775
Coastline,-79.78636346,1.02431393
Coastline,-79.83050364,0.9870115674
Coastline,-79.86124894,0.9355147376
Coastline,-79.8919762,0.8841204178
Coastline,-79.92291502,0.8324156618
Coastline,-79.93971464,0.7799797042
Coastline,-79.97064689,0.7284133892
Coastline,-79.98745263,0.6759544996
Coastline,-80.04601834,0.6394328725
Coastline,-80.07705924,0.5877990001
Coastline,-80.10817704,0.5361951889
Coastline,-80.13935136,0.4845527803
Coastline,-80.17058092,0.4329110277
Coastline,-80.18691559,0.3937376853
Coastline,-80.16657112,0.2453202206
Coastline,-80.16951892,0.1919557599
Coastline,-80.17332789,0.1253102727
Coastline,-80.19051497,0.07277028766
Coastline,-80.19360745,0.01943031072
Coastline,-80.19745035,-0.04724915551
Coastline,-80.20152199,-0.1139264143
Coastline,-80.21812462,-0.1531426242
Coastline,-80.22139198,-0.2065530525
Coastline,-80.2388701,-0.2590716676
Coastline,-80.25635918,-0.3116606981
Coastline,-80.28804971,-0.363490683
Coastline,-80.31975531,-0.4153447591
Coastline,-80.33734008,-0.467987545
Coastline,-80.3825404,-0.5057669481
Coastline,-80.42860276,-0.5569433485
Coastline,-80.48736898,-0.5806423303
Coastline,-80.5319695,-0.6051237452
Coastline,-80.59187285,-0.6422496639
Coastline,-80.65186578,-0.6794098786
Coastline,-80.71106647,-0.703207375
Coastline,-80.75692304,-0.7411698153
Coastline,-80.80282256,-0.7791603724
Coastline,-80.84966364,-0.8305921432
Coastline,-80.85328101,-0.8842498065
Coastline,-80.85789309,-0.9513310337
Coastline,-80.87607397,-1.004296173
Coastline,-80.89430863,-1.05727675
Coastline,-80.89814707,-1.110995045
Coastline,-80.90290869,-1.17814869
Coastline,-80.89229402,-1.232576391
Coastline,-80.86731052,-1.287685792
Coastline,-80.85680069,-1.342114654
Coastline,-80.83190508,-1.397212513
Coastline,-80.8214713,-1.451635418
Coastline,-80.81109521,-1.506050709
Coastline,-80.77207295,-1.561823085
Coastline,-80.73200561,-1.604113521
Coastline,-80.67758775,-1.647032487
Coastline,-80.62218607,-1.67648791
Coastline,-80.58218052,-1.718712549
Coastline,-80.54320844,-1.774347638
Coastline,-80.50525747,-1.843393544
