Region,Longitude,Latitude
Amazonian_Craton_1,-59.87207353,8.639556511
Amazonian_Craton_1,-60.4056742,8.80342809
Amazonian_Craton_1,-60.58652359,8.767069882
Amazonian_Craton_1,-60.76629692,8.776415492
Amazonian_Craton_1,-60.94972775,8.649121067
Amazonian_Craton_1,-61.13066347,8.613064403
Amazonian_Craton_1,-61.31155987,8.576924885
Amazonian_Craton_1,-61.44542806,8.629555253
Amazonian_Craton_1,-61.66942437,8.68684545
Amazonian_Craton_1,-61.89387508,8.744307417
Amazonian_Craton_1,-62.07467184,8.754419145
Amazonian_Craton_1,-62.25632038,8.718731403
Amazonian_Craton_1,-62.43727338,8.728667899
Amazonian_Craton_1,-62.66360352,8.740976394
Amazonian_Craton_1,-62.80060975,8.656831236
Amazonian_Craton_1,-62.93853165,8.481335805
Amazonian_Craton_1,-63.07536622,8.397459377
Amazonian_Craton_1,-63.30216225,8.363971851
Amazonian_Craton_1,-63.48386764,8.374261261
Amazonian_Craton_1,-63.66621142,8.339085889
Amazonian_Craton_1,-63.84812705,8.349206002
Amazonian_Craton_1,-64.03056249,8.313843331
Amazonian_Craton_1,-64.21336129,8.232997853
Amazonian_Craton_1,-64.39606844,8.152077735
Amazonian_Craton_1,-64.57878677,8.071189925
Amazonian_Craton_1,-64.71647713,7.897390426
Amazonian_Craton_1,-64.76307597,7.719007853
Amazonian_Craton_1,-64.85524268,7.543410062
Amazonian_Craton_1,-65.03801727,7.553687001
Amazonian_Craton_1,-65.22094245,7.563897302
Amazonian_Craton_1,-65.40405833,7.528816575
Amazonian_Craton_1,-65.54140174,7.400755774
Amazonian_Craton_1,-65.67860163,7.272719128
Amazonian_Craton_1,-65.90737941,7.239845742
Amazonian_Craton_1,-66.09079618,7.294793053
Amazonian_Craton_1,-66.27596662,7.395881513
Amazonian_Craton_1,-66.46100493,7.40649119
Amazonian_Craton_1,-66.59898276,7.278623611
Amazonian_Craton_1,-66.69054839,7.148169599
Amazonian_Craton_1,-66.7358074,6.925397063
Amazonian_Craton_1,-66.82807507,6.795718134
Amazonian_Craton_1,-67.01281578,6.760857082
Amazonian_Craton_1,-67.29032732,6.775792427
Amazonian_Craton_1,-67.47512884,6.695775724
Amazonian_Craton_1,-67.47408507,6.471275732
Amazonian_Craton_1,-67.56954118,6.343361281
Amazonian_Craton_1,-67.70868949,6.216575874
Amazonian_Craton_1,-67.84776061,6.089762813
Amazonian_Craton_1,-67.93993734,5.960355352
Amazonian_Craton_1,-67.93793064,5.781069473
Amazonian_Craton_1,-68.02974627,5.607230374
Amazonian_Craton_1,-68.07739861,5.432056386
Amazonian_Craton_1,-68.07878191,5.165833481
Amazonian_Craton_1,-68.07947793,5.032855307
Amazonian_Craton_1,-68.12746437,4.769566102
Amazonian_Craton_1,-68.26787616,4.643880792
Amazonian_Craton_1,-68.36183889,4.471620851
Amazonian_Craton_1,-68.40913764,4.29713845
Amazonian_Craton_1,-68.45638167,4.122777837
Amazonian_Craton_1,-68.55011179,3.950758803
Amazonian_Craton_1,-68.73652593,3.915478573
Amazonian_Craton_1,-68.92301101,3.924266317
Amazonian_Craton_1,-69.10980159,3.844701302
Amazonian_Craton_1,-69.20330874,3.672488672
Amazonian_Craton_1,-69.34340758,3.546562986
Amazonian_Craton_1,-69.53020583,3.466800671
Amazonian_Craton_1,-69.67025898,3.340793826
Amazonian_Craton_1,-69.76345645,3.168670186
Amazonian_Craton_1,-69.90339184,3.042680126
Amazonian_Craton_1,-70.04327611,2.916682831
Amazonian_Craton_1,-70.13685934,2.788749406
Amazonian_Craton_1,-70.14067878,2.5693877
Amazonian_Craton_1,-69.90743179,2.559618202
Amazonian_Craton_1,-69.67365745,2.593618281
Amazonian_Craton_1,-69.48998641,2.454414541
Amazonian_Craton_1,-69.53898541,2.325095309
Amazonian_Craton_1,-69.68016815,2.24338469
Amazonian_Craton_1,-69.86794687,2.163530168
Amazonian_Craton_1,-70.05582847,2.083597702
Amazonian_Craton_1,-70.15208955,1.912316467
Amazonian_Craton_1,-70.3414113,1.788508282
Amazonian_Craton_1,-70.53433422,1.664633454
Amazonian_Craton_1,-70.72671793,1.584395957
Amazonian_Craton_1,-70.87219769,1.45844759
Amazonian_Craton_1,-71.01570403,1.463819199
Amazonian_Craton_1,-71.25656305,1.385069124
Amazonian_Craton_1,-71.45039046,1.260566006
Amazonian_Craton_1,-71.643762,1.17979541
Amazonian_Craton_1,-71.83793424,1.055045808
Amazonian_Craton_1,-71.98409404,0.9284950523
Amazonian_Craton_1,-72.08270768,0.7563617717
Amazonian_Craton_1,-72.22893746,0.6297050968
Amazonian_Craton_1,-72.37522421,0.5029893988
Amazonian_Craton_1,-72.52209114,0.3323745089
Amazonian_Craton_1,-72.57242479,0.1586426949
Amazonian_Craton_1,-72.67134835,-0.01352763304
Amazonian_Craton_1,-72.77435323,-0.1861572422
Amazonian_Craton_1,-72.82912254,-0.3603109879
Amazonian_Craton_1,-72.88389543,-0.5344684821
Amazonian_Craton_1,-72.98696954,-0.7072207014
Amazonian_Craton_1,-73.0417594,-0.8814005297
Amazonian_Craton_1,-72.99992396,-1.058273112
Amazonian_Craton_1,-73.00640196,-1.233700775
