Region,Longitude,Latitude
Amazonian_Craton_1,-59.46186122,8.391193693
Amazonian_Craton_1,-60.3317187,8.158835491
Amazonian_Craton_1,-60.59946079,8.157603002
Amazonian_Craton_1,-60.86799742,8.230605232
Amazonian_Craton_1,-61.06976024,8.304052684
Amazonian_Craton_1,-61.40572589,8.376180139
Amazonian_Craton_1,-61.60912254,8.524825233
Amazonian_Craton_1,-61.94586918,8.60177856
Amazonian_Craton_1,-62.21639979,8.683080494
Amazonian_Craton_1,-62.4857124,8.687246294
Amazonian_Craton_1,-62.75337318,8.614206003
Amazonian_Craton_1,-63.01897114,8.464076549
Amazonian_Craton_1,-63.28632927,8.391764763
Amazonian_Craton_1,-63.55551572,8.395059009
Amazonian_Craton_1,-63.89209854,8.398924194
Amazonian_Craton_1,-64.15924794,8.326515946
Amazonian_Craton_1,-64.42393493,8.178734051
Amazonian_Craton_1,-64.69072236,8.106595114
Amazonian_Craton_1,-64.81878315,7.886408041
Amazonian_Craton_1,-64.94407101,7.591486639
Amazonian_Craton_1,-65.21434812,7.601326071
Amazonian_Craton_1,-65.41721066,7.608595653
Amazonian_Craton_1,-65.7498982,7.470576883
Amazonian_Craton_1,-65.94705018,7.327747462
Amazonian_Craton_1,-66.28531738,7.339142324
Amazonian_Craton_1,-66.62384667,7.350293674
Amazonian_Craton_1,-66.81723241,7.132200943
Amazonian_Craton_1,-66.87169083,6.835317901
Amazonian_Craton_1,-66.92597098,6.539013813
Amazonian_Craton_1,-67.19590267,6.547367714
Amazonian_Craton_1,-67.46242116,6.481026974
Amazonian_Craton_1,-67.51945769,6.260212031
Amazonian_Craton_1,-67.71293985,6.048118332
Amazonian_Craton_1,-67.9780069,5.914187013
Amazonian_Craton_1,-68.24296981,5.780213761
Amazonian_Craton_1,-68.36512217,5.493931302
Amazonian_Craton_1,-68.42088118,5.208370467
Amazonian_Craton_1,-68.40553353,4.847686102
Amazonian_Craton_1,-68.52896513,4.566362801
Amazonian_Craton_1,-68.79406474,4.435832329
Amazonian_Craton_1,-68.98801096,4.229993034
Amazonian_Craton_1,-69.25289986,4.09929196
Amazonian_Craton_1,-69.51430724,3.896699042
Amazonian_Craton_1,-69.63632479,3.616119462
Amazonian_Craton_1,-69.76156619,3.407508644
Amazonian_Craton_1,-69.95086952,3.130655834
Amazonian_Craton_1,-70.00800581,2.919459757
Amazonian_Craton_1,-69.86124652,2.632022855
Amazonian_Craton_1,-69.78625485,2.419869742
Amazonian_Craton_1,-70.05121645,2.292173883
Amazonian_Craton_1,-70.24605398,2.091860067
Amazonian_Craton_1,-70.44267754,1.894220891
Amazonian_Craton_1,-70.71423622,1.841320625
Amazonian_Craton_1,-70.98606556,1.788317496
Amazonian_Craton_1,-71.18659388,1.66135091
Amazonian_Craton_1,-71.3843162,1.464625977
Amazonian_Craton_1,-71.65367131,1.34163509
Amazonian_Craton_1,-71.92313418,1.218556223
Amazonian_Craton_1,-72.18968731,1.025725345
Amazonian_Craton_1,-72.31539105,0.7553025042
Amazonian_Craton_1,-72.50980887,0.4890787559
Amazonian_Craton_1,-72.70407607,0.2230389105
Amazonian_Craton_1,-72.8301285,-0.04582654879
Amazonian_Craton_1,-72.82259015,-0.3183190654
Amazonian_Craton_1,-72.95257148,-0.5831408368
Amazonian_Craton_1,-73.08250778,-0.8478433005
Amazonian_Craton_1,-73.14203546,-1.183762614
Amazonian_Craton_1,-73.20427244,-1.450831112
Amazonian_Craton_1,-73.12642936,-1.72687072
Amazonian_Craton_1,-72.91470382,-1.940769347
Amazonian_Craton_1,-72.76998221,-2.218400224
Amazonian_Craton_1,-72.49215487,-2.367396309
Amazonian_Craton_1,-72.34792716,-2.644143595
Amazonian_Craton_1,-72.3416751,-2.978909348
Amazonian_Craton_1,-72.33828226,-3.311303103
Amazonian_Craton_1,-72.19962397,-3.517092177
Amazonian_Craton_1,-71.92525578,-3.662672507
Amazonian_Craton_1,-71.6518774,-3.741664753
Amazonian_Craton_1,-71.44822805,-3.68482251
Amazonian_Craton_1,-71.1087543,-3.634220491
Amazonian_Craton_1,-70.90692826,-3.444925431
Amazonian_Craton_1,-70.7724731,-3.318749076
Amazonian_Craton_1,-70.57163606,-3.063353137
Amazonian_Craton_1,-70.30270339,-2.877301787
Amazonian_Craton_1,-70.03639501,-2.820544067
Amazonian_Craton_1,-69.77090721,-2.763134852
Amazonian_Craton_1,-69.37087622,-2.777290504
Amazonian_Craton_1,-69.17251363,-2.717357401
Amazonian_Craton_1,-68.77461174,-2.664400533
Amazonian_Craton_1,-68.44360282,-2.609062455
Amazonian_Craton_1,-68.11428616,-2.48678655
Amazonian_Craton_1,-67.85156545,-2.362198367
Amazonian_Craton_1,-67.58770541,-2.30452732
Amazonian_Craton_1,-67.32578793,-2.244562845
Amazonian_Craton_1,-67.0648367,-2.183396137
Amazonian_Craton_1,-66.73963903,-2.056709411
Amazonian_Craton_1,-66.54430945,-1.99405267
Amazonian_Craton_1,-66.28585417,-1.798936725
Amazonian_Craton_1,-66.09400718,-1.535310579
Amazonian_Craton_1,-66.03308676,-1.268595035
Amazonian_Craton_1,-66.03876415,-0.9330469207
Amazonian_Craton_1,-65.84554795,-0.7359940425
Amazonian_Craton_1,-65.58571151,-0.6075782644
Amazonian_Craton_1,-65.32487455,-0.546373032
Amazonian_Craton_1,-65.0641666,-0.4851834112
Amazonian_Craton_1,-64.80259808,-0.4911652569
Amazonian_Craton_1,-64.54208669,-0.4948191407
Amazonian_Craton_1,-64.21736568,-0.4971786453
Amazonian_Craton_1,-63.89361098,-0.432411066
Amazonian_Craton_1,-63.63568881,-0.3000315526
Amazonian_Craton_1,-63.44351237,-0.09997597946
Amazonian_Craton_1,-63.31778073,0.1706423021
Amazonian_Craton_1,-63.25730325,0.4437866189
Amazonian_Craton_1,-63.13057152,0.6482608174
Amazonian_Craton_1,-62.80747763,0.7827664924
Amazonian_Craton_1,-62.61236811,0.7811842301
Amazonian_Craton_1,-62.28731217,0.7785173996
Amazonian_Craton_1,-62.0274,0.7763656974
Amazonian_Craton_1,-61.8292751,0.5016716383
Amazonian_Craton_1,-61.8259229,0.2282901062
Amazonian_Craton_1,-61.88730879,-0.04426491042
Amazonian_Craton_1,-62.07880963,-0.3112186379
Amazonian_Craton_1,-62.07516007,-0.6463798961
Amazonian_Craton_1,-61.81489074,-0.7811859408
Amazonian_Craton_1,-61.87665841,-1.049314067
Amazonian_Craton_1,-61.93849858,-1.316334863
Amazonian_Craton_1,-61.87099736,-1.5838509
Amazonian_Craton_1,-61.6108712,-1.781927239
Amazonian_Craton_1,-61.35150969,-1.913183002
Amazonian_Craton_1,-61.09284426,-1.977709634
Amazonian_Craton_1,-60.83540424,-1.90885315
Amazonian_Craton_1,-60.5779126,-1.839945605
Amazonian_Craton_1,-60.31980768,-1.837674869
Amazonian_Craton_1,-59.99718705,-1.834786061
Amazonian_Craton_1,-59.67508456,-1.765147656
Amazonian_Craton_1,-59.35251375,-1.762152738
Amazonian_Craton_1,-59.0936466,-1.893054398
Amazonian_Craton_1,-58.89986041,-1.889012233
Amazonian_Craton_1,-58.57738949,-1.748115174
Amazonian_Craton_1,-58.32004734,-1.474985972
Amazonian_Craton_1,-58.12683695,-1.269860137
Amazonian_Craton_1,-57.86803599,-1.196752364
Amazonian_Craton_1,-57.67362768,-1.192050791
Amazonian_Craton_1,-57.41436178,-1.18577067
Amazonian_Craton_1,-57.09017101,-1.17784814
Amazonian_Craton_1,-56.83075748,-1.171476223
Amazonian_Craton_1,-56.50625575,-1.230400069
Amazonian_Craton_1,-56.24679758,-1.223909028
Amazonian_Craton_1,-55.98567774,-1.213678598
Amazonian_Craton_1,-55.65898625,-1.200837306
Amazonian_Craton_1,-55.39749444,-1.123528576
Amazonian_Craton_1,-55.1357226,-1.113177239
Amazonian_Craton_1,-54.87376276,-1.102736974
Amazonian_Craton_1,-54.61165133,-1.092270591
Amazonian_Craton_1,-54.21820517,-1.076511291
Amazonian_Craton_1,-53.8899382,-0.9290156052
Amazonian_Craton_1,-53.6927371,-0.7866616688
Amazonian_Craton_1,-53.36325823,-0.6377797846
Amazonian_Craton_1,-53.09718938,-0.4212630685
Amazonian_Craton_1,-52.8975926,-0.3428919364
