StationName,NVG_cluster,PVG_cluster,Neg_Depth,Pos_Depth,Category,TectonicType,logS_AttenuationRF_Neg,logS_AttenuationRF_Pos,dVsCAM22RF_Neg,dVsWINTRF_Neg,dVsCAM22RF_Pos,dVsWINTRF_Pos,Negdep_Isostat_pressure,Posdep_Isostat_pressure,Temperature_N_CAM22,Temperature_N_WINT,T_N_solidus_norm_CAM22,T_N_solidus_norm_WINT,Temperature_P_CAM22,Temperature_P_WINT,T_P_solidus_norm_CAM22,T_P_solidus_norm_WINT,log_omegaGBs,Neg_Depth_scaled,logS_AttenuationRF_Neg_scaled,dVsCAM22RF_Neg_scaled,Negdep_Isostat_pressure_scaled,Temperature_N_CAM22_scaled,T_N_solidus_norm_CAM22_scaled,KMeans_k3,GMM_k3,Agglomerative_k3,KMeans_k4,GMM_k4,Agglomerative_k4,KMeans_k5,GMM_k5,Agglomerative_k5,KMeans_k6,GMM_k6,Agglomerative_k6,KMeans_k7,GMM_k7,Agglomerative_k7,KMeans_k8,GMM_k8,Agglomerative_k8,KMeans_k9,GMM_k9,Agglomerative_k9,KMeans_k10,GMM_k10,Agglomerative_k10,tsne_1,tsne_2
JP_JSD,1,1.0,60.26129681,151.9329221,LVL,2,-5.60690784454346,-6.171462059021,-4.47400010610563,-0.243571154981464,2.89810996611475,2.51890445241284,19.4982130422899,50.9195597079197,1361.75677321096,1135.91471787682,1.02861431268886,0.85802263648518,1300.54083476536,1254.26357038097,0.805319608198681,0.776663846359981,9.18590672592565,-1.1554875960751458,0.17493370725215462,-1.172397808184934,-1.1571246238387478,0.579256610943584,1.1687905161531327,2,2,0,2,2,2,2,2,2,0,2,0,0,2,1,7,3,1,8,3,1,8,3,1,7.5682645,-19.664438
B08A,1,1.0,66.51567832,85.9898503,LVL,3,-5.76814079284668,-5.79488611221313,-4.09144323377995,-1.66049348080613,-2.97652660028129,-9.92581403714533,21.7427642251204,28.2517252155834,1347.46048467432,1234.48829707712,0.998612019274444,0.914887571944504,1370.28517410552,1388.18312741309,0.96784367570248,0.980485147159734,11.1391948560074,-1.0427429319523063,-0.04831810289023113,-1.077900656960178,-1.0397302821957861,0.541717950117985,1.0440490241118594,2,2,0,2,2,2,2,2,2,0,2,0,0,2,1,7,3,1,8,3,1,8,3,1,5.916202,-19.388357
MY_SBM,1,1.0,66.93929025,92.53372476,LVL,3,-4.75261306762695,-4.7402229309082,-7.29380581068317,-2.17212516367651,-6.25920725014245,-3.99509353267538,21.5080048789847,30.1558508603292,1403.62477714498,1259.1833743092,1.04023575381298,0.933189259616501,1436.25864283087,1399.37929165207,0.998094956796991,0.972466498715822,11.5891755214417,-1.0351066877145805,1.357836193058696,-1.868931122225224,-1.0520086472849612,0.6891920529358171,1.2171093524990229,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,7,3,3,17.878918,-22.619728
DOSE,1,1.0,67.62532022,155.7129145,LVL,3,-4.88489580154419,-5.37813377380371,-5.01435333872206,2.29780290911434,-1.06215918722754,-0.962369781389562,22.1274726211276,51.8112436905521,1371.32853501861,1080.08678728408,1.0135465890751,0.798290308413953,1427.70384791883,1430.57301637731,0.878262701721724,0.880027692161237,7.95342445574679,-1.0227399623361901,1.1746704064846762,-1.305872971830329,-1.019609293545916,0.6043897858287935,1.1061429612051228,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,7,3,3,7,3,3,7,3,3,15.899881,-18.731272
Q12A,1,2.0,62.00335717,35.0,LVD,3,-4.57037591934204,,-7.13260954871022,-0.488904851869916,,,20.6664802133026,,1394.14858166961,1194.14787911279,1.04744446406432,0.897180976042666,,,,,10.3715526776548,-1.1240843294442437,1.6101715479470733,-1.8291132842867242,-1.0960220049930638,0.6643098125588615,1.2470812369821362,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,18.64708,-22.681356
I12A,1,4.0,65.63693732,35.0,LVD,3,-5.22470903396606,,-7.50040518574318,-2.72136257556632,,,21.5928840302666,,1403.14807672939,1223.65939366179,1.04271593514693,0.909333213025857,,,,,10.9371933043003,-1.0585835644333217,0.7041467322177672,-1.919964194169009,-1.047569304506693,0.6879403507775683,1.2274212815191279,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,7,3,3,7,3,3,7,3,3,14.491336,-22.356672
R06C,1,1.0,68.09531965,164.9908103,LVL,3,-3.81913590431213,-5.63408517837524,-6.54458624101902,-1.67118860710583,-3.62631702241758,-1.64550470621516,22.3762632718829,55.3336028671007,1379.28181133093,1245.60345492626,1.01942484207755,0.920623396102189,1486.18626838566,1487.37188255465,0.901265171853039,0.901984161646238,11.3435403573238,-1.0142675134156134,2.650378868918522,-1.6838629138182215,-1.0065970642522575,0.6252732019108963,1.1305831611589494,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,22.357138,-24.006119
F05A,1,4.0,87.5,63.54376995,LVD,3,-4.8814640045166,-4.72821092605591,-5.78339686479082,-10.6158009621711,-6.59906911064443,-0.0831775424007321,28.5579648495499,20.7258918501334,1400.3838201346,1378.22438004128,0.984495853163741,0.96891735492159,1371.58360545711,1115.82718090941,1.02484453707879,0.833743846258588,13.5694786355578,-0.6644688698608792,1.179422257185874,-1.4958379878540682,-0.6832821884344861,0.6806820689878017,0.9853577901375442,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,7,7,3,7,7,3,7,7,3,18.967777,-17.620504
N14A,1,4.0,67.85388437,115.0,LVL,3,-5.32731008529663,-5.66414308547974,-6.8624318498032,-0.826615995405479,-3.86113688322454,-2.08482751872946,22.432802052495,38.2213500129494,1401.88764941431,1227.70078055577,1.03613277857672,0.907391559908185,1432.65927988264,1409.80229124634,0.949409728219114,0.934262618453506,11.0129219689915,-1.0186197486458244,0.5620797994157691,-1.762375435046264,-1.0036399773397269,0.6846307677795168,1.2000502815236838,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,7,3,3,7,3,3,7,3,3,13.778246,-21.82064
MUR,1,1.0,71.71450474,112.3695585,LVL,4,-4.08819198608398,-4.74008321762085,-3.88596922022249,0.0340956023080569,-6.60342918576117,-3.3249995287267,23.5118674213969,37.0012217636671,1368.00834726635,1196.87202365021,1.00024982739436,0.875119685827596,1470.35784760255,1443.15558830742,0.980238565068364,0.962103725538281,10.4247171976879,-0.9490262410822858,2.2778293502406224,-1.0271455657920157,-0.9472027842202487,0.5956717607560648,1.0508585911584065,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,23.469652,-21.868088
IRON,1,1.0,68.920395,124.5868679,LVL,3,-4.5630898475647,-5.21096801757812,-8.36315581400026,-4.73862087438571,-5.33007534806899,-2.23696497333275,22.6212535022595,41.4400062401902,1415.71043632535,1309.03836186646,1.04352120613662,0.964893141424906,1459.59148832153,1431.39272415365,0.948443611368176,0.930120033889482,12.454803035893,-0.9993942852533958,1.6202602347213142,-2.1330762370713687,-0.9937836042500893,0.7209261257102267,1.230769382391417,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,18.634863,-23.247013
M18A,1,1.0,70.49010477,162.6882349,LVL,3,-5.68474817276001,-5.81302499771118,-4.3037181333007,3.08400851571824,0.384358809828614,-0.542799101963375,23.840324192803,54.9711647466473,1323.09093313132,951.91959200697,0.972622592353338,0.699769364376601,1370.67879647317,1427.47176651037,0.833847667887313,0.868397473239062,4.69898488820973,-0.9710978980717015,0.06715180312334963,-1.1303356665818458,-0.9300238636715238,0.4777292912783092,0.9359919550519775,2,2,0,2,2,2,2,2,2,0,2,0,0,2,1,7,7,1,8,7,1,8,7,1,6.4139395,-19.067228
